dataset,qtype,n_questions,signal,AUC_all,AUC_answer_bearing,AUC_bridge_only,deficit
2wiki,bridge_comparison,119,s_emb,0.7836722924463904,0.9712306941125074,0.7279669360932384,-0.24326375801926903
2wiki,bridge_comparison,119,s_ent_slot,0.47522244191794366,0.5635134787860099,0.44899976339309566,-0.11451371539291422
2wiki,comparison,138,s_emb,0.9748247479521109,0.9735973597359736,0.9755331262939959,0.0019357665580223005
2wiki,comparison,138,s_ent_slot,0.5668878649443394,0.6954907447266466,0.4926656314699793,-0.2028251132566673
2wiki,compositional,189,s_emb,0.8410721284398534,0.7078889715608466,0.9785515161859248,0.2706625446250782
2wiki,compositional,189,s_ent_slot,0.5617616388119033,0.4685949900793651,0.6579336633100074,0.18933867323064224
2wiki,inference,54,s_emb,0.827610596707819,0.6829132373113854,0.9723079561042524,0.28939471879286693
2wiki,inference,54,s_ent_slot,0.5294710219478738,0.46523491083676266,0.5937071330589849,0.12847222222222227
hotpotqa,?,500,s_emb,0.887364481286109,0.8491228024899091,0.941049914980774,0.09192711249086483
hotpotqa,?,500,s_ent_slot,0.6433963828183874,0.6349311627490855,0.6552802494541379,0.02034908670505242
musique,2hop,259,s_emb,0.819324978591388,0.7198125876286796,0.9203862005418426,0.200573612913163
musique,2hop,259,s_ent_slot,0.5897385250667104,0.5783098369305266,0.6013450916174652,0.023035254686938567
musique,3hop,163,s_emb,0.7795286032601629,0.7207525089542182,0.8089166504131352,0.08816414145891704
musique,3hop,163,s_ent_slot,0.550049056113101,0.6040262952586971,0.5230604365403028,-0.08096585871839435
musique,4hop,78,s_emb,0.676687828731098,0.615867439184747,0.696961291913215,0.08109385272846803
musique,4hop,78,s_ent_slot,0.5422547871466141,0.6122205785667324,0.5189328566732413,-0.0932877218934911
