dataset,generator,config,n,EM,CI_lo,CI_hi,F1,gold_recall,ctx_tokens
2wiki,Qwen2.5-1.5B-Instruct,B5,500,42.199999999999996,37.94656100557239,46.5723830435097,0.5041576065877856,1.0,456.332
2wiki,Qwen2.5-1.5B-Instruct,B2,500,34.599999999999994,30.562051626889957,38.87278662386186,0.4000851370851371,0.6965,340.84
2wiki,Qwen2.5-1.5B-Instruct,B4,500,34.2,30.17647943001571,38.46445851556084,0.4037222347700608,0.7375,360.018
2wiki,Qwen2.5-1.5B-Instruct,B1,500,34.0,29.983814768649815,38.2601730243391,0.4144926589750119,0.8685,658.684
2wiki,Qwen2.5-1.5B-Instruct,COND,500,32.6,28.63746168691645,36.827875037959,0.37632775147557757,0.6115,315.19
2wiki,Qwen2.5-1.5B-Instruct,SET,500,32.4,28.445458478263607,36.62292809402419,0.3770526821005082,0.463,270.722
2wiki,Qwen2.5-1.5B-Instruct,PC,500,27.800000000000004,24.053595389789066,31.884937672983042,0.3133400169878431,0.4155,214.644
hotpotqa,Qwen2.5-1.5B-Instruct,B5,500,55.00000000000001,50.61764115934799,59.30611265534298,0.7107478454501929,1.0,304.882
hotpotqa,Qwen2.5-1.5B-Instruct,B4,500,47.8,43.455017112738105,52.178531208797864,0.6058183173312531,0.858,313.56
hotpotqa,Qwen2.5-1.5B-Instruct,B1,500,47.0,42.664726545811874,51.38102116537354,0.5818585844574272,0.92,736.162
hotpotqa,Qwen2.5-1.5B-Instruct,COND,500,45.800000000000004,41.48138280656259,50.182663989097,0.5852576514241721,0.755,309.96
hotpotqa,Qwen2.5-1.5B-Instruct,SET,500,44.4,40.1040043510091,48.78139137653702,0.5663510137310895,0.683,309.258
hotpotqa,Qwen2.5-1.5B-Instruct,B2,500,40.8,36.57816336552564,45.16212961544298,0.5331508249173458,0.769,314.858
hotpotqa,Qwen2.5-1.5B-Instruct,PC,500,33.6,29.598730030060416,37.851357457753224,0.44047880016734237,0.464,212.534
musique,Qwen2.5-1.5B-Instruct,B5,259,40.92664092664093,35.11337655729997,47.00513131968754,0.5438161875136664,1.0,340.5289575289575
musique,Qwen2.5-1.5B-Instruct,B1,259,20.84942084942085,16.34588089987185,26.205069938960357,0.30554691012765545,0.7432432432432432,700.6525096525097
musique,Qwen2.5-1.5B-Instruct,B4,259,17.760617760617762,13.587469264071716,22.876165107351987,0.26367750932968326,0.6023166023166023,331.2316602316602
musique,Qwen2.5-1.5B-Instruct,B2,259,16.988416988416986,12.905347374315982,22.036457880255593,0.2535140884519767,0.5444015444015444,321.42084942084944
musique,Qwen2.5-1.5B-Instruct,COND,259,14.285714285714285,10.545169415268305,19.07023393032082,0.23795110180604073,0.5135135135135135,315.94208494208493
musique,Qwen2.5-1.5B-Instruct,SET,259,13.513513513513514,9.87950769035661,18.214066538380397,0.21118058540418788,0.4111969111969112,312.72200772200773
musique,Qwen2.5-1.5B-Instruct,PC,259,9.652509652509652,6.623683512174897,13.860745132301473,0.19397006496058472,0.35135135135135137,217.67953667953668
