dataset,tau,kappa,gold_recall,answer_bearing_recall,bridge_recall,distractor_reject
2wiki,0.1,0.1236,0.1381260096930533,0.12719298245614036,0.1445012787723785,0.8811802232854864
2wiki,0.2,0.1026,0.11954765751211632,0.10526315789473684,0.1278772378516624,0.9029771398192451
2wiki,0.3,0.0918,0.10823909531502424,0.09868421052631579,0.11381074168797954,0.9136097820308346
2wiki,0.35,0.0894,0.1074313408723748,0.09868421052631579,0.11253196930946291,0.9165337586390218
2wiki,0.45,0.082,0.09773828756058159,0.08991228070175439,0.10230179028132992,0.9231791600212653
2wiki,0.6,0.074,0.08966074313408724,0.07894736842105263,0.0959079283887468,0.9311536416799575
2wiki,0.75,0.0648,0.08077544426494346,0.07236842105263158,0.08567774936061381,0.9404572036150983
hotpotqa,0.1,0.08813491266813893,0.174,0.16095890410958905,0.19230769230769232,0.9334338106003517
hotpotqa,0.2,0.07869905641437462,0.161,0.1421232876712329,0.1875,0.9419743782969103
hotpotqa,0.3,0.07267616944388677,0.152,0.13356164383561644,0.1778846153846154,0.947249434815373
hotpotqa,0.35,0.07086930335274041,0.15,0.13356164383561644,0.17307692307692307,0.9490077869881939
hotpotqa,0.45,0.0672555711704477,0.147,0.13013698630136986,0.17067307692307693,0.9527756845013815
hotpotqa,0.6,0.06324031319012247,0.14,0.12157534246575342,0.1658653846153846,0.9560411956794775
hotpotqa,0.75,0.058823529411764705,0.134,0.11986301369863013,0.15384615384615385,0.960060286360211
musique,0.1,0.07082124637391217,0.09628506444275967,0.12350597609561753,0.0795593635250918,0.9330490896519935
musique,0.2,0.06011803541062319,0.0841546626231994,0.10956175298804781,0.06854345165238677,0.9435353768149343
musique,0.3,0.05411623487046114,0.07960576194086429,0.10159362549800798,0.06609547123623011,0.9497580087577783
musique,0.35,0.05181554466339902,0.07429871114480667,0.09561752988047809,0.06119951040391677,0.951601751555658
musique,0.45,0.047514254276282884,0.06974981046247157,0.08964143426294821,0.05752753977968176,0.9558654067757548
musique,0.6,0.041512453736120836,0.06520090978013647,0.08764940239043825,0.051407588739290085,0.9620880387185987
musique,0.75,0.036110833249974994,0.06141015921152388,0.08167330677290836,0.04895960832313342,0.9677345010371053
