table,dataset,signal,split,auc,lo,hi,n_pos,n_q
signals,2wiki,s_emb,all gold,0.8068305278789081,0.7925753221116533,0.8225338770182988,1238,500
signals,2wiki,s_emb,answer-bearing,0.8398190119104246,0.8193953759853226,0.8576071812113795,456,500
signals,2wiki,s_emb,bridge-only,0.7875942763208883,0.7677359906302039,0.8095469133089731,782,500
signals,2wiki,s_ent_oracle,all gold,0.6136342164953678,0.5928654560000001,0.6333375956181414,1238,500
signals,2wiki,s_ent_oracle,answer-bearing,0.6561342884057566,0.6303983054510117,0.6823925549035633,456,500
signals,2wiki,s_ent_oracle,bridge-only,0.5888515658673149,0.56499925372757,0.6118945474120303,782,500
signals,2wiki,s_ent_slot,all gold,0.52257761699986,0.5034478877112729,0.5414460980772089,1238,500
signals,2wiki,s_ent_slot,answer-bearing,0.5484717908540623,0.5220176203129497,0.5759646570889514,456,500
signals,2wiki,s_ent_slot,bridge-only,0.5074782010439569,0.48706800696012537,0.5311058297898715,782,500
signals,hotpotqa,s_emb,all gold,0.887364481286109,0.8747884932805985,0.8989308080491951,1000,500
signals,hotpotqa,s_emb,answer-bearing,0.8491228024899092,0.8306742313830418,0.8659101560516919,584,500
signals,hotpotqa,s_emb,bridge-only,0.9410499149807741,0.929183423597006,0.9512498162755785,416,500
signals,hotpotqa,s_ent_oracle,all gold,0.668929163526752,0.6502261264732684,0.6876723479135244,1000,500
signals,hotpotqa,s_ent_oracle,answer-bearing,0.6806552012470193,0.6590782594155825,0.703572420967437,584,500
signals,hotpotqa,s_ent_oracle,bridge-only,0.6524676105733,0.6249697346344029,0.6793005960203432,416,500
signals,hotpotqa,s_ent_slot,all gold,0.6433963828183873,0.6262417005654836,0.6599353901039784,1000,500
signals,hotpotqa,s_ent_slot,answer-bearing,0.6349311627490856,0.6141275613263256,0.6564812151971693,584,500
signals,hotpotqa,s_ent_slot,bridge-only,0.6552802494541379,0.6246179334170854,0.6836291123119482,416,500
signals,musique,s_emb,all gold,0.7615639296672928,0.7466047618407975,0.7770285823779186,1319,500
signals,musique,s_emb,answer-bearing,0.7016276906662358,0.681471401569687,0.7219955657373526,502,500
signals,musique,s_emb,bridge-only,0.7983913372297539,0.7795989406845182,0.8166860349615243,817,500
signals,musique,s_ent_oracle,all gold,0.6318305804452485,0.6180965363006238,0.6454425943785727,1319,500
signals,musique,s_ent_oracle,answer-bearing,0.6884958437740166,0.6668767021138098,0.7093812673375159,502,500
signals,musique,s_ent_oracle,bridge-only,0.597013001264047,0.5798513139790348,0.61553979436253,817,500
signals,musique,s_ent_slot,all gold,0.5595072705704787,0.5443106755877979,0.5754798192113172,1319,500
signals,musique,s_ent_slot,answer-bearing,0.5896733416644553,0.5681980384132416,0.6116467949140855,502,500
signals,musique,s_ent_slot,bridge-only,0.540971936801597,0.5235425932886602,0.5608526981285341,817,500
hops,musique,s_emb,2hop,0.8193249785913879,0.8015306329495518,0.8367615788706523,518,259
hops,musique,s_ent_oracle,2hop,0.6446414699310452,0.6218181191395478,0.6668769741887502,518,259
hops,musique,s_ent_slot,2hop,0.5897385250667104,0.5650183795212752,0.6133171712804918,518,259
hops,musique,s_emb,3hop,0.7795286032601629,0.7571815627785057,0.8004412808642216,489,163
hops,musique,s_ent_oracle,3hop,0.6061880149414282,0.5788998399762327,0.6311948450411904,489,163
hops,musique,s_ent_slot,3hop,0.550049056113101,0.5249426539407586,0.5724835034872068,489,163
hops,musique,s_emb,4hop,0.676687828731098,0.6463505069649901,0.7093303773216634,312,78
hops,musique,s_ent_oracle,4hop,0.5924042570677186,0.5593136197403025,0.6280080179569363,312,78
hops,musique,s_ent_slot,4hop,0.542254787146614,0.5078740086702827,0.5756422455415845,312,78
decomp,musique,s_llm_blind,"LLM, question only",0.532879014425608,0.5096643583370443,0.5565611784184218,500,500
decomp,musique,s_llm_anchored,"LLM, anchored on top-1 chunk",0.6369805201642624,0.6114636052631579,0.6615141811479726,500,500
decomp,musique,s_decomposed,gold sub-question,0.8397165420659155,0.8235952963101778,0.8560802149567033,500,500
decomp_hops,musique,s_decomposed,2hop,0.8479418833005502,0.8259125064042764,0.8692117502877511,259,259
decomp_hops,musique,s_llm_anchored,2hop,0.7100708569922144,0.6761531032004513,0.7433261163448117,259,259
decomp_hops,musique,s_decomposed,3hop,0.8485352612021685,0.8231770631883989,0.873141949539282,163,163
decomp_hops,musique,s_llm_anchored,3hop,0.5562101197250963,0.512732020760215,0.594001573850826,163,163
decomp_hops,musique,s_decomposed,4hop,0.8035745181494169,0.7497800529430083,0.8502761773763798,78,78
decomp_hops,musique,s_llm_anchored,4hop,0.5600626319249801,0.4990570607979515,0.613958960517665,78,78
decomp,musique,lift_decomposed_minus_original,paired,0.35546786257834107,0.33128530433866893,0.381695552021027,500,500
