generator,config,n,EM,CI_lo,CI_hi,F1,n_kept,ctx_tokens,gold_recall
Qwen2.5-0.5B-Instruct,B4,500,11.4,8.903649378821104,14.484971171764634,0.26785623554736904,2.0,313.56,0.858
Qwen2.5-0.5B-Instruct,B5,500,10.8,8.372241545896648,13.825528546926177,0.2888742268954316,2.0,304.882,1.0
Qwen2.5-0.5B-Instruct,SET,500,9.2,6.968236650145481,12.053932221976234,0.2345652542461737,2.0,309.258,0.683
Qwen2.5-0.5B-Instruct,B1,500,8.4,6.274379952220428,11.159988309550732,0.21490209906533686,4.988,736.162,0.92
Qwen2.5-0.5B-Instruct,B2,500,8.0,5.929780247392154,10.71068770920373,0.2130138061622402,2.0,314.858,0.769
Qwen2.5-0.5B-Instruct,PC,500,6.800000000000001,4.906621332682857,9.352145708387196,0.19536478079888805,1.196,212.534,0.464
Qwen2.5-1.5B-Instruct,B5,500,55.00000000000001,50.61764115934799,59.30611265534298,0.7107478454501929,2.0,304.882,1.0
Qwen2.5-1.5B-Instruct,B4,500,47.8,43.455017112738105,52.178531208797864,0.6058183173312531,2.0,313.56,0.858
Qwen2.5-1.5B-Instruct,B1,500,47.0,42.664726545811874,51.38102116537354,0.5818585844574272,4.988,736.162,0.92
Qwen2.5-1.5B-Instruct,SET,500,44.4,40.1040043510091,48.78139137653702,0.5663510137310895,2.0,309.258,0.683
Qwen2.5-1.5B-Instruct,B2,500,40.8,36.57816336552564,45.16212961544298,0.5331508249173458,2.0,314.858,0.769
Qwen2.5-1.5B-Instruct,PC,500,33.6,29.598730030060416,37.851357457753224,0.44047880016734237,1.196,212.534,0.464
