prompt,dataset,generator,config,n,EM,CI_lo,CI_hi,F1,gold_recall
gen_alt,2wiki,Qwen2.5-1.5B-Instruct,B5,500,31.6,27.678293769010942,35.8022921929263,0.4042966993790523,1.0
gen_alt,2wiki,Qwen2.5-1.5B-Instruct,B4,500,25.4,21.781962767775582,29.393168463944868,0.31307156527682845,0.7375
gen_alt,2wiki,Qwen2.5-1.5B-Instruct,COND,500,23.599999999999998,20.08806897813258,27.514510880299113,0.29142542253068565,0.6115
gen_alt,2wiki,Qwen2.5-1.5B-Instruct,B1,500,22.400000000000002,18.963838082995068,26.257040859910802,0.3012279004964763,0.8685
gen_alt,2wiki,Qwen2.5-1.5B-Instruct,PC,500,21.0,17.657669884786483,24.784557990005908,0.24468156288156284,0.4155
gen_alt,hotpotqa,Qwen2.5-1.5B-Instruct,B5,500,46.6,42.26999925744605,50.98184814856409,0.6209627312009223,1.0
gen_alt,hotpotqa,Qwen2.5-1.5B-Instruct,B4,500,40.6,36.38296860034575,44.96037422803524,0.5363906434595054,0.858
gen_alt,hotpotqa,Qwen2.5-1.5B-Instruct,COND,500,37.0,32.8821530528825,41.31608702892099,0.49951159851089516,0.755
gen_alt,hotpotqa,Qwen2.5-1.5B-Instruct,B1,500,36.199999999999996,32.10753166167672,40.50290780977621,0.48389414259143404,0.92
gen_alt,hotpotqa,Qwen2.5-1.5B-Instruct,PC,500,27.400000000000002,23.67399762569261,31.470635131904224,0.37648246021043846,0.464
gen_alt,musique,Qwen2.5-1.5B-Instruct,B5,259,35.13513513513514,29.57686152677617,41.12792797382039,0.4771053605005896,1.0
gen_alt,musique,Qwen2.5-1.5B-Instruct,B4,259,15.444015444015443,11.551185153159185,20.34696186770813,0.23950102028668854,0.6023166023166023
gen_alt,musique,Qwen2.5-1.5B-Instruct,B1,259,12.741312741312742,9.218185416990806,17.35355969489407,0.22879111021403872,0.7432432432432432
gen_alt,musique,Qwen2.5-1.5B-Instruct,COND,259,10.81081081081081,7.58614133754634,15.181030982208219,0.20733096163344295,0.5135135135135135
gen_alt,musique,Qwen2.5-1.5B-Instruct,PC,259,9.266409266409266,6.306070977873121,13.417443108177181,0.1737559924752043,0.35135135135135137
gen_v3,2wiki,Qwen2.5-0.5B-Instruct,PC,500,11.200000000000001,8.72623972834597,14.265430669652131,0.21442644792218893,0.4155
