dataset,signal,AUC_all_gold,AUC_answer_bearing,lift_vs_raw
2wiki,s_emb_raw,0.6515414186507936,0.689660209102091,0.0
2wiki,s_emb_title,0.6418948412698413,0.6665744157441574,-0.023085793357933593
2wiki,s_emb_sent,0.6423666914682539,0.6675661131611317,-0.022094095940959346
2wiki,s_emb_full,0.6684399801587302,0.7440190651906519,0.054358856088560836
2wiki,s_ent_raw,0.47191840277777775,0.5297944854448545,
2wiki,s_ent_cond,0.45064236111111106,0.4959947724477245,-0.03379971299713003
hotpotqa,s_emb_raw,0.7448344765035997,0.7189007496740547,0.0
hotpotqa,s_emb_title,0.7271994218014852,0.702452737940026,-0.016448011734028656
hotpotqa,s_emb_sent,0.7309917238251799,0.706504644719687,-0.012396104954367715
hotpotqa,s_emb_full,0.6840995408423558,0.6912667046936116,-0.027634044980443084
hotpotqa,s_ent_raw,0.5813275891389377,0.584707056714472,
hotpotqa,s_ent_cond,0.6446105662944277,0.643430166232073,0.05872310951760107
musique,s_emb_raw,0.5967439582524108,0.5473653616822374,0.0
musique,s_emb_title,0.6138488732767016,0.6101376495898078,0.06277228790757039
musique,s_emb_sent,0.612406340949904,0.6063023976317319,0.05893703594949451
musique,s_emb_full,0.5778418590512219,0.622656151684215,0.07529079000197758
musique,s_ent_raw,0.5030905375508756,0.5328962744122775,
musique,s_ent_cond,0.5583148970665226,0.5749731831991994,0.04207690878692194
